FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20251227,17:03:12,bell_n4,1,4,26,7,33,255.7,63.2,0.0003,0.2052,0.21
tket,20251227,17:03:12,bell_n4,2,4,26,7,33,255.79,94.7,0.0004,0.1368,0.1408
tket,20251227,17:03:12,bell_n4,3,4,26,7,33,255.75,110.5,0.0004,0.1171,0.1188
tket,20251227,17:03:12,bell_n4,4,4,26,7,33,255.27,71.1,0.0003,0.1825,0.1852
tket,20251227,17:03:12,bell_n4,5,4,26,7,33,255.27,102.7,0.0004,0.1358,0.1395
tket,20251227,17:03:12,bell_n4,6,4,26,7,33,255.93,104.6,0.0003,0.1334,0.1372
tket,20251227,17:03:12,bell_n4,7,4,26,7,33,255.29,103.8,0.0004,0.1246,0.129
tket,20251227,17:03:12,bell_n4,8,4,26,7,33,255.88,99.4,0.0003,0.1304,0.1321
tket,20251227,17:03:12,bell_n4,9,4,26,7,33,255.65,99.5,0.0003,0.1402,0.1429
tket,20251227,17:03:12,bell_n4,10,4,26,7,33,255.31,108.1,0.0004,0.1291,0.1311
