FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20260401,09:35:03,bell_n4,1,4,26,7,0,33,255.86,92.5,0.0003,0.1401,0.1438
tket,20260401,09:35:03,bell_n4,2,4,26,7,0,33,255.44,93.8,0.0004,0.1381,0.1419
tket,20260401,09:35:03,bell_n4,3,4,26,7,0,33,255.37,99.6,0.0004,0.13,0.1338
tket,20260401,09:35:03,bell_n4,4,4,26,7,0,33,255.64,102.1,0.0003,0.1367,0.1404
tket,20260401,09:35:03,bell_n4,5,4,26,7,0,33,255.45,101.0,0.0004,0.1183,0.1205
tket,20260401,09:35:03,bell_n4,6,4,26,7,0,33,256.14,78.9,0.0004,0.1644,0.1682
tket,20260401,09:35:03,bell_n4,7,4,26,7,0,33,255.55,105.0,0.0004,0.1329,0.1346
tket,20260401,09:35:03,bell_n4,8,4,26,7,0,33,255.69,87.3,0.0004,0.16,0.1679
tket,20260401,09:35:03,bell_n4,9,4,26,7,0,33,255.61,91.1,0.0004,0.1422,0.152
tket,20260401,09:35:03,bell_n4,10,4,26,7,0,33,255.84,94.1,0.0004,0.1377,0.1394
