FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20260114,10:05:09,bigadder_n18,1,18,16,34,50,257.02,35.5,0.0006,5.6959,5.7086
tket,20260114,10:05:09,bigadder_n18,2,18,16,34,50,256.85,37.5,0.0047,5.4123,5.4232
tket,20260114,10:05:09,bigadder_n18,3,18,16,34,50,257.23,36.1,0.0057,5.8081,5.8178
tket,20260114,10:05:09,bigadder_n18,4,18,16,34,50,257.39,37.9,0.0006,5.3879,5.3925
tket,20260114,10:05:09,bigadder_n18,5,18,16,34,50,257.32,40.9,0.0006,5.0167,5.0332
tket,20260114,10:05:09,bigadder_n18,6,18,16,34,50,257.26,39.2,0.0016,5.3554,5.3772
tket,20260114,10:05:09,bigadder_n18,7,18,16,34,50,256.82,38.0,0.0006,5.3125,5.3224
tket,20260114,10:05:09,bigadder_n18,8,18,16,34,50,257.78,36.1,0.0007,5.7345,5.7421
tket,20260114,10:05:09,bigadder_n18,9,18,16,34,50,257.15,35.7,0.0006,5.7454,5.7557
tket,20260114,10:05:09,bigadder_n18,10,18,16,34,50,257.27,39.8,0.0006,5.2038,5.2155
