FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20260219,15:43:12,bigadder_n18,1,18,16,34,16,66,257.59,38.0,0.0028,5.3361,5.357
tket,20260219,15:43:12,bigadder_n18,2,18,16,34,16,66,257.27,37.9,0.0006,5.3238,5.3377
tket,20260219,15:43:12,bigadder_n18,3,18,16,34,16,66,256.95,38.1,0.0014,5.3762,5.3894
tket,20260219,15:43:12,bigadder_n18,4,18,16,34,16,66,256.81,38.4,0.0006,5.4173,5.4252
tket,20260219,15:43:12,bigadder_n18,5,18,16,34,16,66,256.57,36.8,0.0007,5.6553,5.6662
tket,20260219,15:43:12,bigadder_n18,6,18,16,34,16,66,257.04,39.2,0.0007,5.2507,5.253
tket,20260219,15:43:12,bigadder_n18,7,18,16,34,16,66,256.92,38.6,0.0007,5.4343,5.448
tket,20260219,15:43:12,bigadder_n18,8,18,16,34,16,66,257.48,38.2,0.0006,5.3068,5.3295
tket,20260219,15:43:12,bigadder_n18,9,18,16,34,16,66,257.36,37.8,0.0027,5.5319,5.5398
tket,20260219,15:43:12,bigadder_n18,10,18,16,34,16,66,257.55,38.6,0.0007,5.3844,5.3947
