FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20260130,12:31:03,dnn_n16,1,16,1632,384,2016,270.24,51.3,0.0234,6.8992,6.9459
tket,20260130,12:31:03,dnn_n16,2,16,1632,384,2016,270.09,65.0,0.015,4.9856,5.0385
tket,20260130,12:31:03,dnn_n16,3,16,1632,384,2016,270.25,67.2,0.0157,4.987,5.0313
tket,20260130,12:31:03,dnn_n16,4,16,1632,384,2016,270.76,63.0,0.0172,5.3358,5.3915
tket,20260130,12:31:03,dnn_n16,5,16,1632,384,2016,270.66,64.1,0.0111,5.1834,5.2135
tket,20260130,12:31:03,dnn_n16,6,16,1632,384,2016,270.52,64.5,0.0161,5.5335,5.5952
tket,20260130,12:31:03,dnn_n16,7,16,1632,384,2016,270.41,64.3,0.0197,5.1742,5.221
tket,20260130,12:31:03,dnn_n16,8,16,1632,384,2016,270.22,79.1,0.0141,4.4596,4.486
tket,20260130,12:31:03,dnn_n16,9,16,1632,384,2016,270.12,90.5,0.0113,3.8113,3.8474
tket,20260130,12:31:03,dnn_n16,10,16,1632,384,2016,270.39,86.7,0.0116,4.2309,4.2574
