FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20260219,15:45:21,dnn_n16,1,16,1632,384,0,2016,270.52,36.5,0.0292,9.8831,9.9539
tket,20260219,15:45:21,dnn_n16,2,16,1632,384,0,2016,270.23,39.6,0.0292,8.9293,9.0275
tket,20260219,15:45:21,dnn_n16,3,16,1632,384,0,2016,270.23,38.9,0.0269,9.1354,9.2148
tket,20260219,15:45:21,dnn_n16,4,16,1632,384,0,2016,270.75,40.2,0.0286,8.6779,8.7617
tket,20260219,15:45:21,dnn_n16,5,16,1632,384,0,2016,270.96,68.5,0.0175,4.8406,4.9018
tket,20260219,15:45:21,dnn_n16,6,16,1632,384,0,2016,270.54,64.5,0.0167,5.1771,5.239
tket,20260219,15:45:21,dnn_n16,7,16,1632,384,0,2016,270.17,70.7,0.0163,4.6482,4.6914
tket,20260219,15:45:21,dnn_n16,8,16,1632,384,0,2016,270.57,64.8,0.0104,5.1625,5.2024
tket,20260219,15:45:21,dnn_n16,9,16,1632,384,0,2016,270.42,64.9,0.0185,5.2352,5.2661
tket,20260219,15:45:21,dnn_n16,10,16,1632,384,0,2016,270.79,65.4,0.0172,5.2693,5.335
