FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20260219,15:46:23,qec9xz_n17,1,17,21,32,0,53,256.57,70.2,0.0005,1.5519,1.5539
tket,20260219,15:46:23,qec9xz_n17,2,17,21,32,0,53,256.07,65.0,0.0005,1.6459,1.648
tket,20260219,15:46:23,qec9xz_n17,3,17,21,32,0,53,255.86,57.2,0.001,1.7824,1.7869
tket,20260219,15:46:23,qec9xz_n17,4,17,21,32,0,53,256.09,62.6,0.0005,1.5971,1.6018
tket,20260219,15:46:23,qec9xz_n17,5,17,21,32,0,53,256.0,65.9,0.0026,1.6069,1.6139
tket,20260219,15:46:23,qec9xz_n17,6,17,21,32,0,53,256.23,62.1,0.0005,1.7235,1.7286
tket,20260219,15:46:23,qec9xz_n17,7,17,21,32,0,53,256.07,63.7,0.0005,1.554,1.5568
tket,20260219,15:46:23,qec9xz_n17,8,17,21,32,0,53,255.89,62.6,0.0005,1.6756,1.6795
tket,20260219,15:46:23,qec9xz_n17,9,17,21,32,0,53,256.72,65.0,0.0006,1.5223,1.5263
tket,20260219,15:46:23,qec9xz_n17,10,17,21,32,0,53,255.97,62.6,0.0005,1.71,1.712
