FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20251227,12:42:07,qft_n4,1,4,6,6,12,255.57,37.9,0.0003,0.527,0.5318
tket,20251227,12:42:07,qft_n4,2,4,6,6,12,255.5,39.8,0.0003,0.5278,0.5437
tket,20251227,12:42:07,qft_n4,3,4,6,6,12,255.59,31.6,0.0003,0.6639,0.6738
tket,20251227,12:42:07,qft_n4,4,4,6,6,12,255.5,37.4,0.0004,0.5604,0.5643
tket,20251227,12:42:07,qft_n4,5,4,6,6,12,255.42,36.2,0.0003,0.5804,0.5882
tket,20251227,12:42:07,qft_n4,6,4,6,6,12,255.95,32.5,0.0003,0.6159,0.6327
tket,20251227,12:42:07,qft_n4,7,4,6,6,12,255.75,37.6,0.0003,0.5583,0.565
tket,20251227,12:42:07,qft_n4,8,4,6,6,12,255.77,48.3,0.0003,0.4137,0.4204
tket,20251227,12:42:07,qft_n4,9,4,6,6,12,255.6,41.9,0.0003,0.5005,0.5057
tket,20251227,12:42:07,qft_n4,10,4,6,6,12,255.45,58.5,0.0042,0.3374,0.349
