FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20260401,09:34:31,qft_n4,1,4,6,6,0,12,255.71,32.3,0.0021,0.647,0.6622
tket,20260401,09:34:31,qft_n4,2,4,6,6,0,12,255.45,47.1,0.0023,0.4014,0.4084
tket,20260401,09:34:31,qft_n4,3,4,6,6,0,12,255.05,51.7,0.0003,0.3672,0.3689
tket,20260401,09:34:31,qft_n4,4,4,6,6,0,12,255.51,42.4,0.0003,0.5183,0.524
tket,20260401,09:34:31,qft_n4,5,4,6,6,0,12,255.92,44.6,0.0003,0.4476,0.4515
tket,20260401,09:34:31,qft_n4,6,4,6,6,0,12,255.41,41.4,0.0003,0.4588,0.4616
tket,20260401,09:34:31,qft_n4,7,4,6,6,0,12,255.2,73.3,0.0003,0.2725,0.2761
tket,20260401,09:34:31,qft_n4,8,4,6,6,0,12,255.57,76.5,0.0003,0.2612,0.2649
tket,20260401,09:34:31,qft_n4,9,4,6,6,0,12,256.03,81.0,0.0003,0.2465,0.2531
tket,20260401,09:34:31,qft_n4,10,4,6,6,0,12,255.55,101.4,0.0003,0.1772,0.1788
