FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20260130,12:27:02,seca_n11,1,11,26,36,62,256.58,37.6,0.0007,3.1367,3.1407
tket,20260130,12:27:02,seca_n11,2,11,26,36,62,256.73,41.7,0.0027,2.7293,2.7436
tket,20260130,12:27:02,seca_n11,3,11,26,36,62,256.86,37.2,0.0007,3.1424,3.1507
tket,20260130,12:27:02,seca_n11,4,11,26,36,62,256.79,37.3,0.0027,3.1373,3.1543
tket,20260130,12:27:02,seca_n11,5,11,26,36,62,256.59,36.1,0.0038,3.2895,3.3029
tket,20260130,12:27:02,seca_n11,6,11,26,36,62,257.05,34.3,0.0007,3.3832,3.3916
tket,20260130,12:27:02,seca_n11,7,11,26,36,62,256.71,36.7,0.0029,3.0756,3.08
tket,20260130,12:27:02,seca_n11,8,11,26,36,62,256.7,37.8,0.0006,2.9625,2.9686
tket,20260130,12:27:02,seca_n11,9,11,26,36,62,256.79,36.3,0.0007,3.1421,3.1481
tket,20260130,12:27:02,seca_n11,10,11,26,36,62,256.86,33.6,0.0006,3.4175,3.4216
