FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20260206,09:28:19,seca_n11,1,11,26,36,8,62,256.01,32.4,0.0053,3.7036,3.7245
tket,20260206,09:28:19,seca_n11,2,11,26,36,8,62,257.23,35.0,0.0038,3.286,3.2993
tket,20260206,09:28:19,seca_n11,3,11,26,36,8,62,256.64,38.8,0.0045,3.0663,3.0763
tket,20260206,09:28:19,seca_n11,4,11,26,36,8,62,256.3,37.1,0.0007,3.0996,3.1098
tket,20260206,09:28:19,seca_n11,5,11,26,36,8,62,256.94,36.7,0.0007,3.1353,3.1486
tket,20260206,09:28:19,seca_n11,6,11,26,36,8,62,257.37,36.7,0.0007,2.9712,2.9816
tket,20260206,09:28:19,seca_n11,7,11,26,36,8,62,256.75,40.4,0.0007,2.7492,2.7535
tket,20260206,09:28:19,seca_n11,8,11,26,36,8,62,256.62,38.8,0.0028,2.885,2.8893
tket,20260206,09:28:19,seca_n11,9,11,26,36,8,62,256.98,38.9,0.0007,2.9324,2.9376
tket,20260206,09:28:19,seca_n11,10,11,26,36,8,62,256.65,41.2,0.0047,2.6683,2.6816
