FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20251227,12:40:40,toffoli_n3,1,3,24,6,30,255.46,34.1,0.0024,0.3201,0.3386
tket,20251227,12:40:40,toffoli_n3,2,3,24,6,30,255.31,36.0,0.0003,0.3048,0.3152
tket,20251227,12:40:40,toffoli_n3,3,3,24,6,30,256.0,50.1,0.0003,0.259,0.2644
tket,20251227,12:40:40,toffoli_n3,4,3,24,6,30,255.45,31.8,0.0003,0.3772,0.3838
tket,20251227,12:40:40,toffoli_n3,5,3,24,6,30,255.14,25.2,0.0003,0.4767,0.4781
tket,20251227,12:40:40,toffoli_n3,6,3,24,6,30,255.56,24.1,0.0037,0.4944,0.5053
tket,20251227,12:40:40,toffoli_n3,7,3,24,6,30,255.48,38.6,0.0003,0.2587,0.2752
tket,20251227,12:40:40,toffoli_n3,8,3,24,6,30,255.68,38.2,0.0003,0.2614,0.2678
tket,20251227,12:40:40,toffoli_n3,9,3,24,6,30,255.95,32.2,0.0003,0.3727,0.38
tket,20251227,12:40:40,toffoli_n3,10,3,24,6,30,255.43,32.3,0.0003,0.3401,0.3476
