FRAMEWORK,DATE(Y-M-D),HOUR,CIRCUIT,ITERATION,QUBITS,1-GATE,2-GATES,3-GATES,TOTAL-GATES,RAM(MB),CPU(%),BUILD-TIME(s),TRANSPILE+EXECUTION-TIME(s),TOTAL-TIME(s)
tket,20260205,12:00:27,toffoli_n3,1,3,24,6,0,30,254.2,32.3,0.0003,0.3406,0.3522
tket,20260205,12:00:27,toffoli_n3,2,3,24,6,0,30,254.41,38.1,0.0004,0.3144,0.3219
tket,20260205,12:00:27,toffoli_n3,3,3,24,6,0,30,254.68,35.9,0.0024,0.3038,0.3154
tket,20260205,12:00:27,toffoli_n3,4,3,24,6,0,30,254.57,41.4,0.0003,0.2409,0.2465
tket,20260205,12:00:27,toffoli_n3,5,3,24,6,0,30,254.46,37.2,0.0003,0.3226,0.3269
tket,20260205,12:00:27,toffoli_n3,6,3,24,6,0,30,254.62,37.8,0.0003,0.317,0.3204
tket,20260205,12:00:27,toffoli_n3,7,3,24,6,0,30,254.69,36.1,0.0004,0.3324,0.3369
tket,20260205,12:00:27,toffoli_n3,8,3,24,6,0,30,254.39,38.2,0.0049,0.3094,0.3298
tket,20260205,12:00:27,toffoli_n3,9,3,24,6,0,30,254.35,45.3,0.0003,0.2427,0.2441
tket,20260205,12:00:27,toffoli_n3,10,3,24,6,0,30,254.5,37.3,0.0003,0.2949,0.2973
